reactionEnergy,Unnamed: 0,φ,Nd1,Np0,Out_e0,Out_e1,ψ1,First_IE0,CN,L_bond,R0,ΔGH,idx
0.475030217,6174,41.968911917098445,9.0,6.0,11.0,11.0,1.920719,7.576,7.333333333,1.834388,1.45,0.475030217,5552
0.242999427,6175,42.29895333589912,9.0,6.0,11.0,11.0,1.925354,7.650632,7.333333333,1.751901,1.383474,0.242999427,5553
-0.355353462,6176,26.667032073289523,7.5527,6.0,9.283178,9.563525,1.940041,7.974665,6.954545455,1.805685,1.303373,-0.355353462,5554
-0.444719456,6177,26.667032073289523,7.444839,6.0,9.283178,9.457416,1.955348,7.974665,7.5,1.817323,1.303373,-0.444719456,5555
-0.300854366,6178,20.47560571464499,6.964405,6.0,8.434327,9.028805,1.932934,7.451981,6.954545455,1.806354,1.332871,-0.300854366,5556
0.833119919,6179,46.27387365273052,9.147073,3.464102,6.63325,9.414625,1.934585,7.459098,7.333333333,1.935366,1.419683,0.833119919,5557
-0.35686451,6180,19.672131147540984,4.916884,6.0,8.0,7.173979,1.729374,7.87,4.666666667,1.785855,1.32,-0.35686451,5558
0.319611853,6181,31.88976377952756,9.0,6.0,11.0,11.0,2.100186,9.225,7.333333333,1.789669,1.36,0.319611853,5559
0.395082354,6183,41.968911917098445,9.240211,6.0,11.0,11.241903,1.855833,7.576,7.5,1.927418,1.45,0.395082354,5560
0.773470117,6184,46.27387365273052,9.448467,3.464102,6.63325,6.896421,1.943789,7.459098,7.333333333,1.927833,1.419683,0.773470117,5561
0.681570879,6185,41.968911917098445,9.681012,6.0,11.0,5.460586,1.95072,7.576,7.333333333,1.920803,1.45,0.681570879,5562
0.692515706,6186,44.79192679972721,9.587315,4.160168,7.851424,5.995054,1.947944,7.497864,6.772727273,2.048603,1.429718,0.692515706,5563
0.494698197,6187,41.968911917098445,9.0,6.0,11.0,11.0,1.909181,7.576,7.333333333,1.837889,1.45,0.494698197,5564
0.473424881,6188,50.43381507146697,9.486833,6.0,11.489125,11.489125,1.784517,8.436169,5.777777778,1.801554,1.330038,0.473424881,5565
0.254191877,6189,42.29895333589912,9.0,6.0,11.0,11.0,1.916095,7.650632,7.333333333,1.751105,1.383474,0.254191877,5566
0.077060734,6190,42.631578947368425,9.0,6.0,11.0,11.0,1.920719,7.726,7.333333333,1.689755,1.32,0.077060734,5567
-0.091445624,6191,28.070175438596493,7.293596,6.0,10.0,9.296548,2.016951,9.0,7.333333333,1.768207,1.36,-0.091445624,5568
0.517515078,6192,50.43381507146697,9.147073,6.0,11.489125,11.14824,1.884016,8.436169,7.333333333,1.811943,1.330038,0.517515078,5569
