idx,y_true,y_struct,y_hat,abs_y_hat
1238,0.111258641,0.2819535647555826,0.101282924,0.101282924
4790,-0.07782102,-0.1575023880858315,-0.10178657,0.10178657
9639,0.131907375,0.0596900838032847,0.10180138,0.10180138
5633,-0.100217214,-0.010681669805568,-0.10378265,0.10378265
10347,0.120649698,0.5401948959207964,0.103786916,0.103786916
1285,0.102663109,-0.2967067770673334,0.10402109,0.10402109
6068,0.117703657,0.3778598808483216,0.10478854,0.10478854
870,-0.105997592,-0.1590817602482148,-0.105878,0.105878
2031,-0.094445775,-0.3865096349113406,-0.1069781,0.1069781
2786,-0.119253073,-0.3502518928592372,-0.10740325,0.10740325
5696,0.125143522,0.005173524967205,0.108247,0.108247
4896,-0.101271383,-0.60782293942055,-0.108568184,0.108568184
6535,-0.11529096,0.1307985523526894,-0.10868403,0.10868403
3633,0.112839486,0.3360951990945103,0.109249935,0.109249935
1129,-0.099765641,-0.0011369179089558,-0.10943694,0.10943694
8018,-0.123334645,0.5129634247535327,-0.11022681,0.11022681
7595,-0.109113432,-0.3073637027430437,-0.11081324,0.11081324
668,0.10866594,-0.6866250025179036,0.111570135,0.111570135
10541,0.132502024,0.1877378434984508,0.112322226,0.112322226
2235,-0.095972115,0.1232571207199573,-0.1126363,0.1126363
4425,-0.082279197,-0.4221146823803234,-0.11317638,0.11317638
5439,-0.118830209,-0.1368414715065693,-0.11405462,0.11405462
8064,-0.099984012,-0.3644141235680986,-0.11421257,0.11421257
5846,0.116625542,0.9948065697419988,0.11576374,0.11576374
5928,-0.110769516,0.2435274555917015,-0.11631261,0.11631261
200,0.1344324,0.2417686081044849,0.11663596,0.11663596
4816,-0.12446174,0.2716624629351502,-0.11694254,0.11694254
1115,-0.11948369,-0.0099953892601323,-0.11729339,0.11729339
9845,-0.098909027,-0.1704906865143882,-0.117512904,0.117512904
4773,-0.124256294,-0.1184419226905924,-0.11784669,0.11784669
6171,-0.117496935,-0.0777477919513063,-0.11809072,0.11809072
3489,-0.119966148,-0.5992458988786296,-0.118478425,0.118478425
6001,-0.110270405,-0.299549655121337,-0.1200035,0.1200035
4721,-0.123118042,0.0322803909174355,-0.12107781,0.12107781
5418,-0.124576709,-0.2956709293359398,-0.121801466,0.121801466
293,-0.139101737,0.1157788921063073,-0.12236488,0.12236488
5582,0.132793322,0.6258557747361587,0.1248744,0.1248744
2483,-0.151587545,-0.3815845213350043,-0.124921605,0.124921605
8378,0.135846167,0.3787434260444723,0.12542348,0.12542348
2095,0.125528427,0.102799141039362,0.12730666,0.12730666
5489,-0.12718179,-0.2425188536931274,-0.12755129,0.12755129
3479,-0.127125463,0.288779356178853,-0.12761804,0.12761804
5597,-0.125443119,-0.2084446505157436,-0.12806031,0.12806031
2841,0.156714577,-0.2982781878262373,0.12894543,0.12894543
5701,-0.131084855,-0.1962324971410569,-0.12899856,0.12899856
5740,-0.141461236,-0.0399540034192121,-0.12976597,0.12976597
